dia,Q_min_diario,Q_max_diario,Q_prom_diario,Varianza_diaria
2025-03-29,35.1,271.368,170.83032352941177,60.09160861081428
2025-03-30,71.20800000000001,283.824,187.42190625,53.65625713575179
2025-03-31,0.0,253.116,152.0391,50.85467626092375
2025-04-01,69.876,239.616,171.82497902097904,39.94334601489659
2025-04-02,30.024,231.192,146.1234965034965,39.306723524399466
2025-04-03,44.892,229.824,151.46011267605633,40.003324275889454
2025-04-04,3.708,205.52400000000003,75.13425,56.61026036709059
2025-04-05,91.116,185.976,155.42348936170214,25.360505119328632
2025-04-06,30.024,231.876,141.1925,65.75954665059903
2025-04-07,1.0080000000000002,233.208,135.4361438848921,50.027483091226124
2025-04-08,8.1,217.36800000000002,141.71412949640288,56.41965931867442
2025-04-09,72.9,210.6,149.06525,39.91379609981868
2025-04-10,30.024,206.208,140.25425,49.6263671575076
2025-04-11,37.116,223.092,149.4793006993007,46.94204266711298
2025-04-12,21.924,275.72400000000005,163.2118273381295,64.23348193125956
2025-04-13,8.784,260.568,168.7386857142857,76.82068600825046
2025-04-14,23.616,248.076,147.70468085106384,61.19196162514428
2025-04-15,7.308,245.01600000000002,163.03335211267606,50.10268856791313
2025-04-16,4.032000000000001,229.5,137.46417391304348,50.37188965093559
2025-04-17,28.008000000000003,215.316,138.47940000000003,48.42332046757054
2025-04-18,25.632,270.684,163.11042253521126,63.18556190041569
2025-04-19,9.792000000000002,269.676,145.21259154929578,57.219950301434686
2025-04-20,49.968,292.284,144.26584615384616,63.00759879014678
2025-04-21,0.684,235.22400000000002,121.80574647887325,53.940280295928716
2025-04-22,4.392,178.52400000000003,89.90485714285715,45.141985911698086
2025-04-23,118.11600000000001,257.50800000000004,216.45585,22.317007597998305
2025-04-24,92.124,259.884,187.81550000000001,50.690489764722265
2025-04-25,97.2,240.62400000000002,182.98591304347826,45.356994012621605
2025-04-26,97.524,304.776,204.64925000000002,70.57943127219355
2025-04-27,58.715999999999994,315.576,198.43325,69.12172621269218
2025-04-28,83.01599999999999,236.592,186.46275000000003,44.443342452257916
2025-04-29,95.18400000000001,237.27599999999998,178.04425,41.129174115287
2025-04-30,89.10000000000001,227.80800000000002,171.51075000000003,39.49928751265006
2025-05-01,15.515999999999998,287.208,179.36175,59.90633304643119
2025-05-02,85.392,275.076,185.18175000000002,56.090579668474284
2025-05-03,72.57600000000001,310.5,192.797,62.721190297503625
2025-05-04,94.176,291.276,202.17425,66.09415797924976
2025-05-05,101.232,259.884,186.808,42.71580521559651
2025-05-06,94.5,227.80800000000002,173.626,38.36146286541775
2025-05-07,84.384,225.432,175.94525000000002,39.864276975635825
2025-05-08,92.124,262.908,197.52769014084507,53.3627752892405
2025-05-09,0.0,283.176,200.7108,73.38402499524216
2025-05-10,109.692,299.7,207.9285,62.84382174216364
2025-05-11,96.51599999999999,252.108,188.7135,49.557364881095566
2025-05-12,97.2,248.72400000000002,184.58925000000002,41.87252699596685
2025-05-13,93.816,250.092,185.19400000000002,41.26841078170508
2025-05-14,102.276,270.0,187.15825,52.5661436196527
2025-05-15,99.57600000000001,257.83200000000005,187.04325,46.921203809472665
2025-05-16,84.384,256.5,178.171,45.023487677315416
2025-05-17,99.9,269.31600000000003,168.6775,52.75584529864748
2025-05-18,0.324,291.6,178.69991489361703,99.665267216066
2025-05-19,97.2,272.376,206.42600000000002,48.855377479856806
2025-05-20,104.616,249.40800000000002,187.88575000000003,42.840373247918585
2025-05-21,93.492,290.916,196.6930985915493,66.65864017465007
2025-05-22,89.424,249.084,181.572,42.371519921705946
2025-05-23,79.992,251.1,186.1055,44.76818813067486
2025-05-24,96.876,292.968,192.6113286713287,62.91566203178869
2025-05-25,100.908,279.79200000000003,192.34825,62.800508342726744
2025-05-26,100.224,259.524,195.19625000000002,52.5568791767947
2025-05-27,123.87599999999999,274.392,208.5875,41.08713847558483
2025-05-28,114.408,257.50800000000004,202.03625,41.42788792462282
2025-05-29,108.0,279.79200000000003,198.17647552447553,43.94386384311718
2025-05-30,4.392,248.72400000000002,187.69625000000002,46.054738627973045
2025-05-31,91.476,286.524,201.33325000000002,64.21161832603931
2025-06-01,5.724,281.484,201.12125,67.32449444207599
2025-06-02,94.5,237.6,184.34775000000002,42.72104388137869
2025-06-03,100.584,235.584,182.15275,40.3205198073074
2025-06-04,101.916,280.8,187.3955,49.189247555222366
2025-06-05,97.2,246.02400000000003,184.126,43.75561899037391
2025-06-06,92.808,231.876,175.85150000000002,38.029889385657114
2025-06-07,87.084,302.076,192.60175,73.12940264056877
2025-06-08,97.884,283.176,197.34,67.04539959061864
2025-06-09,92.808,253.476,188.4903021582734,47.757490786847924
2025-06-10,102.276,264.6,188.0105,47.9720602504346
2025-06-11,98.568,238.284,178.59125,39.15750296965039
2025-06-12,126.576,243.0,184.0836393442623,28.061655668850282
2025-06-13,129.924,276.408,214.41775,44.567934181379826
2025-06-14,121.5,289.584,213.99725,54.300850452135386
2025-06-15,114.408,287.208,206.22525000000002,58.72496184228326
2025-06-16,161.676,276.768,219.843,28.1150687416846
2025-06-17,71.20800000000001,267.624,178.11138461538462,54.81624417676576
2025-06-18,140.076,289.584,206.3990769230769,45.31474367508286
2025-06-19,162.684,222.084,196.19648780487807,17.03674674085974
2025-06-20,99.216,248.076,175.0945,49.606475051921635
2025-06-21,95.50800000000001,236.23200000000003,165.14625,47.825181047255775
2025-06-22,113.07600000000001,304.776,203.83225000000002,57.60263472066394
2025-06-23,105.94800000000001,291.888,203.81225,54.95166832384103
2025-06-24,113.76,280.944,200.65675,50.34422660707318
2025-06-25,115.308,302.50800000000004,193.53879069767441,49.58614598253394
2025-06-26,111.88799999999999,269.676,191.10500000000002,49.34204031032777
2025-06-27,106.56,263.44800000000004,183.329,47.860699501315736
2025-06-28,110.304,298.764,199.4145,58.29240059840113
2025-06-29,104.688,284.364,194.275,58.178766196438524
2025-06-30,109.368,275.61600000000004,189.1735,49.30563661758897
2025-07-01,93.744,265.932,185.78725,51.9100518381475
2025-07-02,103.75200000000001,265.32,188.66425,47.75695806038966
2025-07-03,101.268,266.54400000000004,188.406,51.96408418839367
2025-07-04,11.556000000000001,276.876,190.935,54.51800223830608
2025-07-05,99.396,285.624,190.49525000000003,58.26064110703556
2025-07-06,98.424,296.244,201.41025000000002,68.63868571731251
2025-07-07,104.688,251.964,187.75302127659575,45.55178217972978
2025-07-08,106.884,229.68,180.7325,38.099803288958604
2025-07-09,92.808,222.804,164.0487042253521,37.18897786317394
2025-07-10,89.676,245.304,183.94375000000002,52.30497951070612
2025-07-11,91.26,243.108,181.45334265734266,43.67454375699601
2025-07-12,92.196,290.016,189.499,64.8840869268857
2025-07-13,84.672,285.3,180.88575,63.594735551515015
2025-07-14,91.872,258.768,183.6555,48.94711376849238
2025-07-15,92.48400000000001,230.328,171.62875,39.908452009007405
2025-07-16,90.61200000000001,279.684,187.20125,65.55383486198107
2025-07-17,83.736,241.23600000000002,174.75850000000003,45.54549331693001
2025-07-18,83.124,249.04800000000003,176.92036363636365,50.776227204335264
2025-07-19,89.38799999999999,292.824,189.346,68.5931144482177
2025-07-20,89.064,284.364,190.4215,66.4347923471564
2025-07-21,86.58,245.95199999999997,177.47425,44.47095615337953
2025-07-22,80.316,238.75199999999998,176.25525000000002,50.48817725478402
2025-07-23,87.192,226.872,169.776,42.22719248776315
2025-07-24,80.928,252.82800000000003,178.07675,47.46744205639928
2025-07-25,85.32,245.304,174.83236363636365,45.257405652578534
2025-07-26,84.06,278.136,186.96,61.5356665930333
2025-07-27,20.196,279.072,182.48225,63.10666611220404
2025-07-28,70.308,239.688,176.1935,52.39924983795495
2025-07-29,90.61200000000001,227.196,171.7525,44.61927718584658
2025-07-30,74.052,230.328,168.70275,40.92815948964466
2025-07-31,83.124,276.264,179.2954647887324,54.620398445023056
2025-08-01,55.943999999999996,275.61600000000004,178.01622377622377,70.53035168169754
2025-08-02,122.796,300.312,227.86200000000002,45.82601138297687
2025-08-03,119.052,299.376,219.42925000000002,60.47867047687434
2025-08-04,129.996,288.756,217.88625,41.02069083158763
2025-08-05,110.304,276.55199999999996,205.75900000000001,50.54217567882933
2025-08-06,119.052,259.992,204.68625,41.65807779045743
2025-08-07,104.36399999999999,242.172,196.49625,44.18337382634242
2025-08-08,96.876,248.76,192.57399999999998,44.46578819092895
2025-08-09,102.492,296.892,196.2881118881119,54.477087409360564
2025-08-10,96.876,285.94800000000004,199.18675,63.63613731047167
2025-08-11,99.36000000000001,267.516,189.71699999999998,48.60755997144499
2025-08-12,98.13600000000001,248.43600000000004,178.7533448275862,51.141534735962196
2025-08-13,91.872,242.496,184.59205714285713,48.96738859701523
2025-08-14,93.744,222.192,172.7405,37.62905361329418
2025-08-15,95.616,280.296,183.554,56.12204378097654
2025-08-16,95.616,305.31600000000003,194.35025000000002,63.67509732281475
2025-08-17,92.48400000000001,303.444,189.05925,62.76074037005306
2025-08-18,90.324,234.684,176.972,43.14433240838284
2025-08-19,92.48400000000001,234.072,167.887,39.741157684419605
2025-08-20,0.6120000000000001,248.11200000000002,186.71488111888112,45.59651994480852
2025-08-21,90.0,242.172,167.48225,42.44705207906431
2025-08-22,64.368,274.68,195.01575,41.26845915601752
2025-08-23,85.32,308.44800000000004,187.92875,63.254311219719426
2025-08-24,65.952,300.636,179.269,73.50644817155296
2025-08-25,122.184,269.676,219.1825,42.2190918980892
2025-08-26,123.76800000000001,257.50800000000004,213.80325000000002,41.843817384503666
2025-08-27,114.048,243.75599999999997,196.08375,40.94191710822175
2025-08-28,110.952,245.01600000000002,194.26025,39.173301509495566
2025-08-29,110.304,254.376,195.5695,42.78066288190712
