datetime,Q_in
2025-01-03 00:40:00,200.12400000000002
2025-01-03 00:50:00,183.924
2025-01-03 01:00:00,181.90800000000002
2025-01-03 01:10:00,168.768
2025-01-03 01:20:00,157.608
2025-01-03 01:30:00,153.216
2025-01-03 01:40:00,151.52400000000003
2025-01-03 01:50:00,147.492
2025-01-03 02:00:00,142.092
2025-01-03 02:10:00,141.768
2025-01-03 02:20:00,126.576
2025-01-03 02:30:00,136.36800000000002
2025-01-03 02:40:00,124.884
2025-01-03 02:50:00,117.43199999999999
2025-01-03 03:00:00,130.96800000000002
2025-01-03 03:10:00,129.27599999999998
2025-01-03 03:20:00,124.2
2025-01-03 03:30:00,121.82400000000001
2025-01-03 03:40:00,132.984
2025-01-03 03:50:00,117.43199999999999
2025-01-03 04:00:00,115.776
2025-01-03 04:10:00,116.42400000000002
2025-01-03 04:20:00,106.308
2025-01-03 04:30:00,115.092
2025-01-03 04:40:00,112.03200000000001
2025-01-03 04:50:00,109.368
2025-01-03 05:00:00,107.316
2025-01-03 05:10:00,115.41600000000001
2025-01-03 05:20:00,108.68400000000001
2025-01-03 05:30:00,104.616
2025-01-03 05:40:00,5.724
2025-01-03 05:50:00,37.476
2025-01-03 06:00:00,23.616
2025-01-03 06:10:00,54.684
2025-01-03 06:20:00,66.492
2025-01-03 06:30:00,67.824
2025-01-03 06:40:00,68.50800000000001
2025-01-03 06:50:00,76.968
2025-01-03 07:00:00,78.3
2025-01-03 07:10:00,73.908
2025-01-03 07:20:00,78.3
2025-01-03 07:30:00,86.4
2025-01-03 07:40:00,66.816
2025-01-03 07:50:00,83.01599999999999
2025-01-03 08:00:00,83.376
2025-01-03 08:10:00,86.724
2025-01-03 08:20:00,85.392
2025-01-03 08:30:00,82.00800000000001
2025-01-03 08:40:00,92.124
2025-01-03 08:50:00,100.908
2025-01-03 09:00:00,96.51599999999999
2025-01-03 09:10:00,88.416
2025-01-03 09:20:00,95.50800000000001
2025-01-03 09:30:00,114.084
2025-01-03 09:40:00,98.892
2025-01-03 09:50:00,131.976
2025-01-03 10:00:00,129.27599999999998
2025-01-03 10:10:00,139.392
2025-01-03 10:20:00,126.576
2025-01-03 10:30:00,129.924
2025-01-03 10:40:00,136.008
2025-01-03 10:50:00,138.708
2025-01-03 11:00:00,151.884
2025-01-03 11:10:00,142.77599999999998
2025-01-03 11:20:00,152.208
2025-01-03 11:30:00,172.8
2025-01-03 11:40:00,164.70000000000002
2025-01-03 11:50:00,159.3
2025-01-03 12:00:00,224.1
2025-01-03 12:10:00,229.176
2025-01-03 12:20:00,208.584
2025-01-03 12:30:00,226.476
2025-01-03 12:40:00,219.384
2025-01-03 12:50:00,229.5
2025-01-03 13:00:00,226.116
2025-01-03 13:10:00,219.708
2025-01-03 13:20:00,229.176
2025-01-03 13:30:00,227.12400000000002
