block,inicio,fin,n_puntos,duracion_min,duracion_horas,duracion_dias,tipo_gap
298,2025-05-18 09:10:00,2025-05-18 09:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
300,2025-05-21 10:20:00,2025-05-21 10:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
302,2025-05-21 11:40:00,2025-05-21 11:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
304,2025-05-24 23:10:00,2025-05-24 23:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
306,2025-05-29 14:20:00,2025-05-29 14:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
308,2025-06-09 06:50:00,2025-06-09 07:00:00,2,20,0.3333333333333333,0.013888888888888888,corto
310,2025-06-09 12:30:00,2025-06-09 12:50:00,3,30,0.5,0.020833333333333332,corto
312,2025-06-12 10:00:00,2025-06-12 13:10:00,20,200,3.3333333333333335,0.1388888888888889,medio
314,2025-06-12 17:40:00,2025-06-12 17:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
316,2025-06-17 11:00:00,2025-06-17 11:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
318,2025-06-18 15:10:00,2025-06-19 10:00:00,114,1140,19.0,0.7916666666666666,medio
320,2025-06-19 16:50:00,2025-06-19 16:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
322,2025-06-25 10:00:00,2025-06-25 12:20:00,15,150,2.5,0.10416666666666667,medio
324,2025-07-07 07:40:00,2025-07-07 07:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
326,2025-07-07 08:10:00,2025-07-07 08:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
328,2025-07-09 13:20:00,2025-07-09 13:30:00,2,20,0.3333333333333333,0.013888888888888888,corto
330,2025-07-11 04:50:00,2025-07-11 04:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
332,2025-07-18 06:20:00,2025-07-18 06:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
334,2025-07-25 10:50:00,2025-07-25 10:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
336,2025-07-31 12:30:00,2025-07-31 12:40:00,2,20,0.3333333333333333,0.013888888888888888,corto
338,2025-08-01 10:10:00,2025-08-01 10:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
340,2025-08-09 02:00:00,2025-08-09 02:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
342,2025-08-12 10:10:00,2025-08-12 14:40:00,28,280,4.666666666666667,0.19444444444444445,medio
344,2025-08-13 09:40:00,2025-08-13 09:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
346,2025-08-13 10:10:00,2025-08-13 10:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
348,2025-08-13 10:30:00,2025-08-13 10:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
350,2025-08-13 11:30:00,2025-08-13 11:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
352,2025-08-20 06:00:00,2025-08-20 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
354,2025-09-15 06:00:00,2025-09-15 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
356,2025-09-27 08:20:00,2025-09-27 08:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
